00: LJMP addr16
03: MOV Rn #data
05: CLR A
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
06: MOV @Ri A
07: DJNZ Rn rel
09: MOV direct #data
0C: LJMP addr16
4A: MOV DPTR #data 16
4D: CLR A
4E: MOV Rn #data
50: MOVC A @A + DPTR
51: JZ rel
53: INC DPTR
54: MOV Rn A
55: ANL A #data
57: JNB bit rel
63: XCH A Rn
64: ANL A #data
66: ADD A direct
68: JZ rel
12: CLR A
13: MOVC A @A + DPTR
14: INC DPTR
15: MOV Rn A
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
22: SJMP rel
4D: CLR A
4E: MOV Rn #data
50: MOVC A @A + DPTR
51: JZ rel
53: INC DPTR
54: MOV Rn A
55: ANL A #data
57: JNB bit rel
63: XCH A Rn
64: ANL A #data
66: ADD A direct
68: JZ rel
12: CLR A
13: MOVC A @A + DPTR
14: INC DPTR
15: MOV Rn A
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
22: SJMP rel
4D: CLR A
4E: MOV Rn #data
50: MOVC A @A + DPTR
51: JZ rel
53: INC DPTR
54: MOV Rn A
55: ANL A #data
57: JNB bit rel
63: XCH A Rn
64: ANL A #data
66: ADD A direct
68: JZ rel
12: CLR A
13: MOVC A @A + DPTR
14: INC DPTR
15: MOV Rn A
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
22: SJMP rel
4D: CLR A
4E: MOV Rn #data
50: MOVC A @A + DPTR
51: JZ rel
53: INC DPTR
54: MOV Rn A
55: ANL A #data
57: JNB bit rel
63: XCH A Rn
64: ANL A #data
66: ADD A direct
68: JZ rel
12: CLR A
13: MOVC A @A + DPTR
14: INC DPTR
15: MOV Rn A
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
22: SJMP rel
4D: CLR A
4E: MOV Rn #data
50: MOVC A @A + DPTR
51: JZ rel
53: INC DPTR
54: MOV Rn A
55: ANL A #data
57: JNB bit rel
63: XCH A Rn
64: ANL A #data
66: ADD A direct
68: JZ rel
12: CLR A
13: MOVC A @A + DPTR
14: INC DPTR
15: MOV Rn A
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
22: SJMP rel
4D: CLR A
4E: MOV Rn #data
50: MOVC A @A + DPTR
51: JZ rel
53: INC DPTR
54: MOV Rn A
55: ANL A #data
57: JNB bit rel
63: XCH A Rn
64: ANL A #data
66: ADD A direct
68: JZ rel
12: CLR A
13: MOVC A @A + DPTR
14: INC DPTR
15: MOV Rn A
16: CLR A
17: MOVC A @A + DPTR
18: INC DPTR
19: JC rel
1B: MOV @Ri A
1C: SJMP rel
1F: INC Rn
20: DJNZ Rn rel
22: SJMP rel
4D: CLR A
4E: MOV Rn #data
50: MOVC A @A + DPTR
51: JZ rel
0F: LJMP addr16
8F: LCALL addr16
E9: CLR A
EA: MOV dierct A
EC: MOV direct #data
EF: MOV dierct A
F1: MOV direct #data
F4: CLR bit
F6: RET
92: LCALL addr16
104: JB bit rel
107: SETB C
108: RET
95: JNC rel
97: INC direct
99: MOV A direct
9B: SUBB A #data
9D: JC rel
A2: CLR bit
A4: MOV direct #data
A7: MOV A #data
A9: ADD A direct
AB: MOV Rn A
AC: MOV A @Rn
